,SGC ID for Component,Comp Acc Mass,mz,SMILES,IA,IA_Peak1,IA_Peak2,IA_Rs,IA_ΔRT,IA_Mean RT,k1,k2,IA_α,IB,IB_Peak1,IB_Peak2,IB_Rs,IB_ΔRT,IB_Mean RT,k1,k2,IB_α,IC,IC_Peak1,IC_Peak2,IC_Rs,IC_ΔRT,IC_Mean RT,k1,k2,IC_α,IG,IG_Peak1,IG_Peak2,IG_Rs,IG_ΔRT,IG_Mean RT,k1,k2,IG_α
2225,XS844087a,300.1586259,301.1659109,CCCN1C=C(C=N1)NC(=O)C2NCCOC=3C=CC=CC32,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2226,XS838420b,298.1681279,299.1754129,CC(C1CCC1)N2NC(=O)CC3(CC=4C=CC=CC4C3)C2=O,GREEN,25.069,25.686,1.234,0.617,25.3775,49.138,50.372,1.025112947,single,,,,,,,,,GREEN,15.726,16.008,0.564,0.282,15.867,30.452,32.016,1.051359517,single,,,,,,,,
2227,XS844089a,302.1430561,303.1503411,O=C(NCC(C1=CC=CO1)N2CCCC2)C=3C=CC=CC3F,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2228,XS844090a,302.1201322,303.1274172,CC=1C=C(NC(=O)NC2CCSC=3C=CC=CC32)N(C)N1,single,,,,,,,,,GREEN,10.179,10.763,1.168,0.584,10.471,19.358,20.526,1.060336812,single,,,,,,,,,GREEN,10.609,11.02,0.822,0.411,10.8145,20.218,21.04,1.04065684
2229,XS841779b,300.1222404,301.1295254,CC(C)C(NC(=O)C1=COC=2C=C(O)C=CC12)C3=CNN=N3,GREEN,8.064,8.257,0.386,0.193,8.1605,15.128,15.514,1.0255156,single,,,,,,,,,GREEN,7.463,7.856,0.786,0.393,7.6595,13.926,15.712,1.128249318,single,,,,,,,,
2230,XS844094a,301.1114216,302.1187066,CC(NC(=O)C=1C=CC=CC1F)C=2C=CC=3OCCOC3C2,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
2231,XS844092a,299.1269914,300.1342764,COC=1C=CC(=CN1)NC(=O)NCC2CC=3C=CC=CC3O2,GREEN,12.583,13.072,0.978,0.489,12.8275,24.166,25.144,1.040470082,check,,,,,,,,,GREEN,13.099,13.361,0.524,0.262,13.23,25.198,26.722,1.060480991,GREEN,16.553,16.869,0.632,0.316,16.711,32.106,32.738,1.019684794
2232,XS844080a,303.1138399,304.1211249,CC=1C=CC=C(NC(C)C(=O)NC=2C=CC(Cl)=CN2)C1C,GREEN,15.1,15.43,0.66,0.33,15.265,29.2,29.86,1.02260274,GREEN,14.35,14.782,0.864,0.432,14.566,27.7,28.564,1.031191336,GREEN,14.387,14.625,0.476,0.238,14.506,27.774,29.25,1.053143227,GREEN,18.517,19.555,2.076,1.038,19.036,36.034,38.11,1.057612255
2233,XS844093a,303.1695249,304.1768099,COCC=1C=CC=CC1CNC(=O)NC(C)C2=NN=CN2C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2234,XS842423b,305.0085119,306.0157969,COCCN(C)C(=O)C(C)C1=CC=C(Br)S1,GREEN,10.519,10.759,0.48,0.24,10.639,20.038,20.518,1.023954486,GREEN,10.056,10.265,0.418,0.209,10.1605,19.112,19.53,1.021871076,GREEN,12.178,12.469,0.582,0.291,12.3235,23.356,24.938,1.067734201,GREEN,13.044,14.241,2.394,1.197,13.6425,25.088,27.482,1.095424107
2235,XS844091a,304.1423071,305.1495921,O=C(NCCC=1C=CC=2OCCOC2C1)C3CCC(=O)NC3,GREEN,9.473,9.742,0.538,0.269,9.6075,17.946,18.484,1.029978825,single,,,,,,,,,check,,,,,,,,,GREEN,14.984,15.7,1.432,0.716,15.342,28.968,30.4,1.049433858
2236,XS844085a,298.1317424,299.1390274,CC=1C=CC(=CN1)C(=O)OC(C)C(=O)NCC=2C=CC=CC2,GREEN,10.327,10.787,0.92,0.46,10.557,19.654,20.574,1.04680981,GREEN,9.744,9.97,0.452,0.226,9.857,18.488,18.94,1.024448291,GREEN,12.673,12.886,0.426,0.213,12.7795,24.346,25.772,1.05857225,GREEN,13.857,19.913,12.112,6.056,16.885,26.714,38.826,1.453395223
2237,XS844079a,301.1902604,302.1975454,CC(C)(C)C=1C=C(NN1)C(=O)N2CCCC(C2)N3C=CC=N3,GREEN,10.069,10.596,1.054,0.527,10.3325,19.138,20.192,1.055073675,single,,,,,,,,,single,,,,,,,,,GREEN,13.397,15.49,4.186,2.093,14.4435,25.794,29.98,1.162285803
2238,XS844086a,301.1426415,302.1499265,CC1CCCN(C1)C(=O)COC=2C=CC(=CC2)C3=NN=CO3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,23.799,24.62,1.642,0.821,24.2095,46.598,48.24,1.035237564
2239,XS838071b,299.0993947,300.1066797,CN1C=C(N=N1)NC(=O)NC(C=2C=CC=CC2)C(F)(F)F,GREEN,9.944,10.184,0.48,0.24,10.064,18.888,19.368,1.025412961,GREEN,9.129,9.473,0.688,0.344,9.301,17.258,17.946,1.03986557,GREEN,8.703,9.021,0.636,0.318,8.862,16.406,18.042,1.099719615,GREEN,10.062,10.369,0.614,0.307,10.2155,19.124,19.738,1.032106254
2240,XS838128b,302.1742759,303.1815609,O=C(C=1C=NN2CCCCC12)N3CCCC4(CNC(=O)C4)C3,check,,,,,,,,,single,,,,,,,,,GREEN,20.02,24.31,8.58,4.29,22.165,39.04,48.62,1.245389344,check,,,,,,,,
2241,XS842220b,305.1375561,306.1448411,CC1CCN(CC21CCC2)C(=O)C=3C=C(C=NC3O)[N+]([O-])=O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,14.984,15.442,0.916,0.458,15.213,28.968,29.884,1.031621099
2242,XS837007b,304.1135675,305.1208525,FC1(F)CCC(C1)C2=NC(CC=3C=CC=4C=NNC4C3)=NO2,GREEN,12.66,13.034,0.748,0.374,12.847,24.32,25.068,1.030756579,single,,,,,,,,,single,,,,,,,,,GREEN,14.68,15.261,1.162,0.581,14.9705,28.36,29.522,1.040973202
2243,XS844088a,299.1633769,300.1706619,COCC(C)NC(=O)C=1C=NN(C1C2CC2)C=3C=CC=CC3,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
2244,XS844104a,309.1652687,310.1725537,O=C(NC=1C=C(F)C=CC1F)N2CCCC(C2)N3CCCC3,GREEN,3.293,8.229,9.872,4.936,5.761,5.586,15.458,2.767275331,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
2245,XS694993b,308.083078,309.090363,COC(=O)C1CCCN(C1)C2=NS(=O)(=O)C=3C=CC=CC23,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2246,XS844103a,313.1902604,314.1975454,CC(NC(=O)N1CCC(CC1)C=2C=CC=CC2)C3=NN=CN3C,GREEN,8.52,8.9,0.76,0.38,8.71,16.04,16.8,1.047381546,check,,,,,,,,,single,,,,,,,,,GREEN,9.976,13.044,6.136,3.068,11.51,18.952,25.088,1.323765302
2247,XS844102a,310.073372,311.080657,ClC=1C=CC(=CC1)C2C=C(NC3=NN=NN32)C=4C=CN=CC4,check,,,,,,,,,GREEN,12.678,13.198,1.04,0.52,12.938,24.356,25.396,1.042699951,GREEN,15.599,15.96,0.722,0.361,15.7795,30.198,31.92,1.057023644,GREEN,16.945,18.622,3.354,1.677,17.7835,32.89,36.244,1.101976285
2248,XS844097a,306.1135055,307.1207905,O=C(NCC1(CC1)C=2C=CC(Cl)=CC2)C3CCNC(=O)C3,single,,,,,,,,,check,,,,,,,,,GREEN,11.031,12.061,2.06,1.03,11.546,21.062,24.122,1.145285348,GREEN,10.369,10.934,1.13,0.565,10.6515,19.738,20.868,1.057249975
2249,XS808755b,311.1746103,312.1818953,CC1=CC(=NN1)C2CCCN(C2)C(=O)C=3C=CN=C(N3)C4CC4,GREEN,9.916,10.127,0.422,0.211,10.0215,18.832,19.254,1.022408666,single,,,,,,,,,GREEN,14.053,14.299,0.492,0.246,14.176,27.106,28.598,1.055043164,GREEN,15.242,17.773,5.062,2.531,16.5075,29.484,34.546,1.171686338
2250,XS842394b,309.1477268,310.1550118,CC1CC=2C=C(C=CC2O1)CCNCC3=CC=CC4=NON=C34,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2251,XS838422b,308.1385591,309.1458441,CC1=NN=C(O1)C(C)N2C=C(CN3C=CC=4C=CC=CC43)N=N2,GREEN,10.327,10.672,0.69,0.345,10.4995,19.654,20.344,1.035107357,GREEN,12.163,12.353,0.38,0.19,12.258,23.326,23.706,1.016290834,GREEN,12.77,13.294,1.048,0.524,13.032,24.54,26.588,1.083455583,GREEN,13.11,14.546,2.872,1.436,13.828,25.22,28.092,1.113877875
2252,XS844099a,305.1773127,306.1845977,CC(CNS(=O)(=O)N1CCC(C)CC1)N2CCOCC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2253,XS839922b,306.1480612,307.1553462,O=C(NCC1CCC=2C=CC=CC2N1)C=3C=CN4C=NC=C4C3,GREEN,9.685,10.691,2.012,1.006,10.188,18.37,20.382,1.109526402,GREEN,11.29,11.991,1.402,0.701,11.6405,21.58,22.982,1.064967563,GREEN,12.353,12.914,1.122,0.561,12.6335,23.706,25.828,1.089513203,GREEN,14.175,14.546,0.742,0.371,14.3605,27.35,28.092,1.027129799
2254,XS844101a,307.0348281,308.0421131,CC1(CCS(=O)(=O)C1)NS(=O)(=O)C=2C=CC(F)=CC2,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.395,20.731,18.672,9.336,16.063,21.79,40.462,1.856906838
2255,XS844100a,307.1496187,308.1569037,CC1=CC(C)=NN1CC(C)CNC(=O)C=2C=C(F)C=C(F)C2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.577,11.959,0.764,0.382,11.768,22.154,22.918,1.034485872
2256,XS716325b,313.1426415,314.1499265,CC=1C=C(ON1)C(=O)NC(CN2CCCC2=O)C=3C=CC=CC3,GREEN,9.79,10.232,0.884,0.442,10.011,18.58,19.464,1.047578041,GREEN,9.473,9.735,0.524,0.262,9.604,17.946,18.47,1.029198707,GREEN,13.858,14.752,1.788,0.894,14.305,26.716,29.504,1.10435694,GREEN,13.714,14.709,1.99,0.995,14.2115,26.428,28.418,1.075298925
2257,XS836919b,311.093977,312.101262,O=C(NCC1CCCO1)NC=2C=CC=3CNS(=O)(=O)C3C2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
2258,XS422083b,312.0932488,313.1005338,CC1C=2C=CSC2CCN1C(=O)COC=3C=CC(C#N)=CC3,GREEN,15.022,16.255,2.466,1.233,15.6385,29.044,31.51,1.08490566,GREEN,13.226,13.615,0.778,0.389,13.4205,25.452,26.23,1.030567342,GREEN,16.476,16.868,0.784,0.392,16.672,31.952,33.736,1.055833751,RED,,,,,,,,
2259,XS570872b,310.1793613,311.1866463,CC=1C=CC=CC1C(=O)N2CCCC(C2)C3=NNC(=N3)C4CC4,GREEN,8.949,9.152,0.406,0.203,9.0505,16.898,17.304,1.024026512,single,,,,,,,,,single,,,,,,,,,GREEN,10.571,11.222,1.302,0.651,10.8965,20.142,21.444,1.064641049
2260,XS637857b,312.1222404,313.1295254,COC(=O)C(CC1=CNC=2C=CC=CC12)NC(=O)C=3C=CNN3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2261,XS478614b,310.1542092,311.1614942,NCC1CN(CCO1)C=2N=CN=C3C2C=NN3C=4C=CC=CC4,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2262,XS844096a,313.1538748,314.1611598,CC1=NC(=NO1)C2CCCN2C(=O)C=3C=CC(=NC3)NC4CC4,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2263,XS837584b,313.106256,314.113541,O=C(NNC(=O)C1CC=2C=CC=CC2O1)C3=CN=C(O3)C4CC4,check,,,,,,,,,GREEN,9.062,10.763,3.402,1.701,9.9125,17.124,20.526,1.198668535,GREEN,10.584,11.022,0.876,0.438,10.803,20.168,22.044,1.093018643,GREEN,12.814,14.984,4.34,2.17,13.899,24.628,28.968,1.176222186
2264,XS839342b,312.9884451,313.9957301,CC(CNC1=NC=NS1)OC=2C=CC=C(Br)C2,GREEN,12.295,12.794,0.998,0.499,12.5445,23.59,24.588,1.042306062,single,,,,,,,,,check,,,,,,,,,GREEN,14.175,14.984,1.618,0.809,14.5795,27.35,28.968,1.059159049
2265,XS612090b,312.1586259,313.1659109,COC=1C=CC=CC1C2=NOC(CC(C)C=3C(C)=NNC3C)=N2,GREEN,9.511,9.742,0.462,0.231,9.6265,18.022,18.484,1.025635335,GREEN,10.678,10.857,0.358,0.179,10.7675,20.356,20.714,1.017586952,single,,,,,,,,,single,,,,,,,,
2266,XS844098a,308.1655411,309.1728261,CC(=O)N(C)C1CCN(CC(C)C=2C=CC=C(Cl)C2)CC1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2267,XS838276b,309.0935831,310.1008681,C1=CSC(=C1)C=2C=NC=C(N2)NCC3COC=4C=CC=CC43,GREEN,16.878,17.337,0.918,0.459,17.1075,32.756,33.674,1.0280254,single,,,,,,,,,GREEN,15.433,16.234,1.602,0.801,15.8335,29.866,32.468,1.08712248,GREEN,19.998,21.677,3.358,1.679,20.8375,38.996,42.354,1.086111396
2268,XS841207b,307.1102958,308.1175808,O=C(NC=1C=CC=NC1N2CCSCC2)C3CNC(=O)N3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2269,XS838567b,311.1433904,312.1506754,FC=1C=CC(=CC1)C2COCCN2CC3=CNC=4C=NC=CC34,single,,,,,,,,,RED,,,,,,,,,single,,,,,,,,,GREEN,3.966,4.55,1.168,0.584,4.258,6.932,8.1,1.168493941
2270,XS726467b,310.1317424,311.1390274,COC=1C=CC=C(C1)N2CC(CC2=O)NC(=O)C=3C=CC=CC3,check,,,,,,,,,GREEN,12.849,14.139,2.58,1.29,13.494,24.698,27.278,1.1044619,GREEN,15.176,15.59,0.828,0.414,15.383,29.352,31.18,1.06227855,GREEN,17.002,19.435,4.866,2.433,18.2185,33.004,37.87,1.147436674
2271,XS844116a,319.1354479,320.1427329,CC(CNC(=O)NCC=1C=COC1)N2CCC=3SC=CC3C2,GREEN,3.35,3.554,0.408,0.204,3.452,5.7,6.108,1.071578947,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2272,XS839987b,318.1691906,319.1764756,COCC(C)NC(=O)NC(=O)CN1C=NC=2C=C(C)C(C)=CC21,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
2273,XS837962b,320.0397692,321.0470542,O=S1(=O)CCC2(C1)CN(CCO2)C=3C(F)=CN=CC3Cl,GREEN,11.785,12.66,1.75,0.875,12.2225,22.57,24.32,1.077536553,GREEN,11.423,11.915,0.984,0.492,11.669,21.846,22.83,1.045042571,GREEN,19.98,20.694,1.428,0.714,20.337,38.96,41.388,1.062320329,GREEN,18.166,23.273,10.214,5.107,20.7195,35.332,45.546,1.289086381
2274,XS844113a,320.1372217,321.1445067,COC(=O)C=1C=CC(=CC1)OCC(=O)N2CCCC(C2)C(N)=O,GREEN,9.886,10.472,1.172,0.586,10.179,18.772,19.944,1.062433411,check,,,,,,,,,GREEN,13.498,14.014,1.032,0.516,13.756,25.996,28.028,1.078165872,GREEN,17.449,18.441,1.984,0.992,17.945,33.898,35.882,1.058528527
2275,XS844115a,315.1582915,316.1655765,CNC(=O)C(CC(C)C)NC(=O)C=1C=C(ON1)C=2C=CC=CC2,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
2276,XS841768b,317.1063362,318.1136212,CC(NC(=O)C=1OC=C2CCCC12)(C(=O)O)C=3C=CC(F)=CC3,single,,,,,,,,,single,,,,,,,,,GREEN,10.411,10.691,0.56,0.28,10.551,19.822,21.382,1.078700434,GREEN,9.919,10.176,0.514,0.257,10.0475,18.838,19.352,1.027285274
2277,XS837143b,315.194677,316.201962,CC(O)(CNC1=CC(=O)NC=2C=NC=CC12)CC3CCCCC3,GREEN,11.047,11.623,1.152,0.576,11.335,21.094,22.246,1.054612686,single,,,,,,,,,single,,,,,,,,,GREEN,13.397,13.828,0.862,0.431,13.6125,25.794,26.656,1.033418624
2278,XS842663b,314.1313656,315.1386506,CC1=NC=2CCCC(C2S1)N(C)C3=CC(C)=NC4=NC=NN34,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,15.7,16.352,1.304,0.652,16.026,30.4,31.704,1.042894737
2279,XS525094b,317.1651885,318.1724735,CN1C=CC(=N1)NC(=O)NC2CCCN(C2)C=3C=CC=CC3F,GREEN,12.477,12.822,0.69,0.345,12.6495,23.954,24.644,1.02880521,GREEN,11.385,11.669,0.568,0.284,11.527,21.77,22.338,1.026090951,GREEN,12.847,13.556,1.418,0.709,13.2015,24.694,27.112,1.097918523,GREEN,16.505,17.202,1.394,0.697,16.8535,32.01,33.404,1.043548891
2280,XS328610b,316.1059216,317.1132066,O=C(C1COC=2C=CC=CC2O1)N3CC(C3)C=4C=C(CO)ON4,RED,,,,,,,,,single,,,,,,,,,GREEN,12.052,12.314,0.524,0.262,12.183,23.104,24.628,1.065962604,GREEN,17.593,18.546,1.906,0.953,18.0695,34.186,36.092,1.055753817
2281,XS844108a,315.138305,316.14559,O=C(NC=1C=CC(F)=CN1)N2CCOC(CC=3C=CC=CC3)C2,GREEN,16.012,18.607,5.19,2.595,17.3095,31.024,36.214,1.16728984,GREEN,12.44,12.784,0.688,0.344,12.612,23.88,24.568,1.02881072,GREEN,13.138,13.341,0.406,0.203,13.2395,25.276,26.682,1.05562589,GREEN,21.505,24.295,5.58,2.79,22.9,42.01,47.59,1.132825518
2282,XS844112a,315.0677623,316.0750473,CC1=CN=C(NC(=O)C(C)N2C(=O)C=3C=CC=CC3C2=O)S1,GREEN,20.842,21.734,1.784,0.892,21.288,40.684,42.468,1.043850162,GREEN,12.631,13.91,2.558,1.279,13.2705,24.262,26.82,1.105432363,single,,,,,,,,,RED,,,,,,,,
2283,XS836663b,318.1150468,319.1223318,CCOC1=NN=C(CN2CC(CC=3C=CC=CC32)C(N)=O)S1,GREEN,10.826,11.815,1.978,0.989,11.3205,20.652,22.63,1.095777649,single,,,,,,,,,GREEN,14.24,14.436,0.392,0.196,14.338,27.48,28.872,1.050655022,RED,,,,,,,,
2284,XS844110a,315.1138399,316.1211249,CC=1C=CC=NC1C(=O)N2CCNCC2C=3C=CC=C(Cl)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2285,XS784763b,319.1219863,320.1292713,OC(CNCC=1C=CC=2OCOC2C1)COC=3C=CC(F)=CC3,RED,,,,,,,,,GREEN,6.082,10.546,8.928,4.464,8.314,11.164,20.092,1.799713364,RED,,,,,,,,,GREEN,5.776,22.565,33.578,16.789,14.1705,10.552,44.13,4.182145565
2286,XS654029b,316.2011594,317.2084444,CC1=NN(C)C(C)=C1CCC(=O)N2CCCC(C2)N3C=NC=N3,GREEN,6.346,6.591,0.49,0.245,6.4685,11.692,12.182,1.041908998,GREEN,6.45,6.672,0.444,0.222,6.561,11.9,12.344,1.037310924,GREEN,15.324,15.949,1.25,0.625,15.6365,29.648,31.898,1.075890448,GREEN,11.068,12.304,2.472,1.236,11.686,21.136,23.608,1.116956851
2287,XS836566b,318.0883534,319.0956384,O=C(C1COC=2C=CC(Cl)=CC2C1)N3CCCN4N=CN=C34,GREEN,22.135,24.255,4.24,2.12,23.195,43.27,47.51,1.097989369,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2288,XS725260b,317.185175,318.19246,CC=1C=NN(C1)CC2CCCN2CC3=CC(=O)N(C)C(=O)N3C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2289,XS844107a,317.1427217,318.1500067,COC=1C=CC(=CC1OC)C(=O)N(C)C(C)C=2C=CC(F)=CC2,GREEN,11.949,12.372,0.846,0.423,12.1605,22.898,23.744,1.036946458,GREEN,12.631,12.974,0.686,0.343,12.8025,24.262,24.948,1.028274668,RED,,,,,,,,,RED,,,,,,,,
2290,XS844114a,318.2307282,319.2380132,CCCN1CCC(CC1)NC(=O)C(C)OC=2C=CC=C(C)C2C,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2291,XS844109a,320.1160924,321.1233774,CC(C(=O)N1CCC=2C=CC=CC21)N3C(=O)C=4C=CC=CC4C3=O,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,
2292,XS844111a,318.1401989,319.1474839,CC1=NC=2C=CC(=CC2S1)CN3CCCC(CCC(=O)O)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2293,XS840142b,316.1699395,317.1772245,CC=1N=C(NC(=O)C1C)C=2C=CC(=NC2)N3CCCC(C)(F)C3,RED,,,,,,,,,GREEN,12.593,14.36,3.534,1.767,13.4765,24.186,27.72,1.146117589,GREEN,17.365,20.97,7.21,3.605,19.1675,33.73,41.94,1.243403498,RED,,,,,,,,
2294,XS394893b,314.1088988,315.1161838,CC(NC(=O)C=1C=CC(=CC1)N2CCCC2=O)C3=CC=CS3,RED,,,,,,,,,single,,,,,,,,,GREEN,15.453,15.793,0.68,0.34,15.623,29.906,31.586,1.056176018,GREEN,21.066,23.865,5.598,2.799,22.4655,41.132,46.73,1.136098415
2295,XS583123b,316.1398625,317.1471475,CC(OC=1N=CC=CC1C(=O)NCC2(C)CCC2)C(F)(F)F,GREEN,11.719,11.939,0.44,0.22,11.829,22.438,22.878,1.019609591,GREEN,11.491,11.821,0.66,0.33,11.656,21.982,22.642,1.030024566,single,,,,,,,,,single,,,,,,,,
2296,XS844105a,319.1644395,320.1717245,COC(=O)C(CC(C)C)NC(=O)C1=NN2C(C)=CC(C)=NC2=N1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2297,XS844106a,314.1742759,315.1815609,CCC(CC)N1N=CC=C1C(=O)N2CC(C)OC=3N=CC=CC32,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2298,XS844123a,324.1685219,325.1758069,CCOC(=O)C1=NN(CC2CCCOC2)C(C(=O)OCC)=C1C,single,,,,,,,,,check,,,,,,,,,GREEN,18.689,20.091,2.804,1.402,19.39,36.378,40.182,1.104568695,GREEN,18.166,19.761,3.19,1.595,18.9635,35.332,38.522,1.090286426
2299,XS844128a,326.0701165,327.0774015,CC(CC=1C=CC(Cl)=CC1Cl)NC(=O)CCN2C=NC=N2,GREEN,9.973,10.165,0.384,0.192,10.069,18.946,19.33,1.02026813,GREEN,9.416,9.634,0.436,0.218,9.525,17.832,18.268,1.024450426,single,,,,,,,,,GREEN,11.491,12.88,2.778,1.389,12.1855,21.982,24.76,1.126376126
2300,XS844122a,325.1038113,326.1110963,COC=1C=CC(=CN1)NC(C)C(=O)NC=2C=CC(F)=C(F)C2F,GREEN,10.193,12.314,4.242,2.121,11.2535,19.386,23.628,1.218817703,GREEN,10.499,10.697,0.396,0.198,10.598,19.998,20.394,1.01980198,check,,,,,,,,,GREEN,11.001,13.714,5.426,2.713,12.3575,21.002,26.428,1.258356347
2301,XS844127a,322.0888321,323.0961171,O=C1C=2C=CC=CC2NC(C3=CSC=N3)N1CC=4C=CC=NC4,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,
2302,XS816070b,321.1852552,322.1925402,CC(C)CNC(=O)C(C)NC=1C=CC(F)=C(C1)NC(=O)C2CC2,single,,,,,,,,,GREEN,8.537,8.871,0.668,0.334,8.704,16.074,16.742,1.041557795,GREEN,9.467,9.98,1.026,0.513,9.7235,17.934,19.96,1.112969778,GREEN,10.494,11.068,1.148,0.574,10.781,19.988,21.136,1.057434461
2303,XS842566b,323.093977,324.101262,CCCC1=NON=C1NS(=O)(=O)C=2C=CC=C3CC(C)OC23,GREEN,11.018,12.583,3.13,1.565,11.8005,21.036,24.166,1.148792546,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
2304,XS838648b,321.0846355,322.0919205,COC=1C=CC(=CC1OC(F)F)NC(C)C2CS(=O)(=O)C2,GREEN,10.653,11.277,1.248,0.624,10.965,20.306,21.554,1.061459667,GREEN,10.312,10.499,0.374,0.187,10.4055,19.624,19.998,1.019058296,GREEN,10.44,10.77,0.66,0.33,10.605,19.88,21.54,1.083501006,GREEN,12.919,16.457,7.076,3.538,14.688,24.838,31.914,1.284886062
2305,XS474522b,326.1378904,327.1451754,O=C(C=1C=CC=2OCC(=O)NC2C1)N3CCCC(C3)N4C=CC=N4,single,,,,,,,,,GREEN,10.763,11.026,0.526,0.263,10.8945,20.526,21.052,1.025626035,GREEN,15.832,16.399,1.134,0.567,16.1155,30.664,32.798,1.069593008,GREEN,18.052,19.761,3.418,1.709,18.9065,35.104,38.522,1.097367821
2306,XS844119a,325.1590405,326.1663255,CC(C)C(NC(=O)CN1C=NC=2C=CC=CC21)C=3C=CC(F)=CC3,single,,,,,,,,,GREEN,8.009,8.46,0.902,0.451,8.2345,15.018,15.92,1.06006126,GREEN,8.582,8.962,0.76,0.38,8.772,16.164,17.924,1.10888394,single,,,,,,,,
2307,XS839750b,324.0270161,325.0343011,CC(C1=NC=2C=CC=CC2S1)N(C)CC=3N=NSC3Cl,GREEN,16.148,16.361,0.426,0.213,16.2545,31.296,31.722,1.013611963,GREEN,14.887,15.108,0.442,0.221,14.9975,28.774,29.216,1.01536109,GREEN,17.98,18.248,0.536,0.268,18.114,34.96,36.496,1.043935927,GREEN,24.065,26.408,4.686,2.343,25.2365,47.13,51.816,1.099427116
2308,XS556831b,324.1473925,325.1546775,O=C(NCC1=CC=CO1)N2CCCC3(C=CC=4C=CC=CC4O3)C2,GREEN,11.421,12.093,1.344,0.672,11.757,21.842,23.186,1.061532827,GREEN,11.915,12.125,0.42,0.21,12.02,22.83,23.25,1.018396846,single,,,,,,,,,GREEN,13.014,13.301,0.574,0.287,13.1575,25.028,25.602,1.022934314
2309,XS844126a,323.1288212,324.1361062,CC(C)C(C(=O)N1CCC(CC1)C(=O)O)C=2C=CC(Cl)=CC2,GREEN,10.855,11.162,0.614,0.307,11.0085,20.71,21.324,1.029647513,check,,,,,,,,,single,,,,,,,,,GREEN,11.327,11.931,1.208,0.604,11.629,21.654,22.862,1.05578646
2310,XS840421b,322.1317424,323.1390274,CC(OC(=O)C=1C=CC=CC1C=2C=CC=CC2C#N)C(=O)N(C)C,check,,,,,,,,,check,,,,,,,,,GREEN,12.013,13.099,2.172,1.086,12.556,23.026,26.198,1.137757318,GREEN,10.704,11.491,1.574,0.787,11.0975,20.408,21.982,1.077126617
2311,XS633258b,325.1538748,326.1611598,O=C(C=1C=CC=2C=CNC2C1)N3CCCC(O)(CN4C=CN=N4)C3,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,9.995,10.934,1.878,0.939,10.4645,18.99,20.868,1.098894155
2312,XS693228b,326.1201322,327.1274172,CC=1C=CC=CC1C(C)NC(=O)C2=CSC(=N2)C=3C=NN(C)C3,GREEN,12.515,12.995,0.96,0.48,12.755,24.03,24.99,1.039950062,GREEN,12.745,12.964,0.438,0.219,12.8545,24.49,24.928,1.017884851,RED,,,,,,,,,GREEN,15.747,18.288,5.082,2.541,17.0175,30.494,35.576,1.166655736
